249,2019-01-10 10:02:13,2,113,520,0.6,100
250,2019-01-10 10:02:14,2,90,296,0.125,100
251,2019-01-10 10:02:15,2,82,25,1,100
252,2019-01-10 10:02:16,2,81,15,1,100
253,2019-01-10 10:02:17,2,83,544,0.75,100
254,2019-01-10 10:02:18,2,114,70,2,100
255,2019-01-10 10:02:19,2,89,424,0.25,100
256,2019-01-10 10:02:20,2,90,296,0.5,100
257,2019-01-10 10:02:21,2,115,504,0.5,100
258,2019-01-10 10:02:22,2,82,25,1,100
259,2019-01-10 10:02:23,2,116,85,1,100
260,2019-01-10 10:02:24,2,117,70,1,100
261,2019-01-10 10:02:25,2,92,135,2,100
262,2019-01-10 10:02:26,2,114,70,1,100
263,2019-01-10 10:02:27,2,118,100,1,100
264,2019-01-10 10:02:28,2,119,80,1,100
265,2019-01-10 10:02:29,2,104,70,1,100
266,2019-01-10 10:02:30,2,116,85,1,100
267,2019-01-10 10:02:31,2,120,10,2,100
268,2019-01-10 10:02:32,2,121,5,2,100
269,2019-01-10 10:02:33,2,111,424,0.5,100
270,2019-01-10 10:02:34,2,122,504,0.5,100
271,2019-01-10 10:02:35,2,123,25,10,100
272,2019-01-10 10:02:36,2,124,15,10,100
273,2019-01-10 10:02:37,2,100,4,1,100
274,2019-01-10 10:02:38,2,102,195,1,100
275,2019-01-10 10:02:39,2,102,195,1,100
276,2019-01-10 10:02:40,2,125,424,0.375,100
277,2019-01-10 10:02:41,2,90,296,0.25,100
278,2019-01-10 10:02:42,2,111,424,0.25,100
279,2019-01-11 10:03:00,2,126,25,1,100
280,2019-01-11 10:03:01,2,127,215,1,100
281,2019-01-11 10:03:02,2,127,215,1,100
282,2019-01-11 10:03:03,2,128,179,1,100
283,2019-01-12 10:03:04,2,128,179,1,100
284,2019-01-12 10:03:05,2,129,179,1,100
285,2019-01-12 10:03:06,2,89,424,0.25,100
286,2019-01-12 10:03:07,2,130,15,4,100
287,2019-01-12 10:03:08,2,131,225,1,100
